Sat Feb  9 15:37:57 IST 2019 Starting regionserver on big-vm
core file size          (blocks, -c) 0
data seg size           (kbytes, -d) unlimited
scheduling priority             (-e) 0
file size               (blocks, -f) unlimited
pending signals                 (-i) 31485
max locked memory       (kbytes, -l) 64
max memory size         (kbytes, -m) unlimited
open files                      (-n) 1024
pipe size            (512 bytes, -p) 8
POSIX message queues     (bytes, -q) 819200
real-time priority              (-r) 0
stack size              (kbytes, -s) 8192
cpu time               (seconds, -t) unlimited
max user processes              (-u) 31485
virtual memory          (kbytes, -v) unlimited
file locks                      (-x) unlimited
2019-02-09 15:37:58,620 INFO  [main] util.VersionInfo: HBase 1.2.10
2019-02-09 15:37:58,621 INFO  [main] util.VersionInfo: Source code repository git://amanita/home/busbey/projects/hbase/hbase revision=18f428abb64b405de24d164425e470512e82f287
2019-02-09 15:37:58,621 INFO  [main] util.VersionInfo: Compiled by busbey on Mon Jan  7 16:53:30 CST 2019
2019-02-09 15:37:58,622 INFO  [main] util.VersionInfo: From source with checksum 319107d81f16c35b394a165b0752af44
2019-02-09 15:37:59,285 INFO  [main] util.ServerCommandLine: env:PATH=/opt/spark/spark-2.2.1-bin-hadoop2.7/bin:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/opt/zookeeper/zookeeper-3.4.10/bin:/opt/hadoop/hadoop-2.7.3/sbin:/opt/hadoop/hadoop-2.7.3/bin:/opt/sqoop/sqoop-1.4.6.bin__hadoop-2.0.4-alpha/bin:/opt/hbase/hbase-1.2.10/bin:/opt/hive/apache-hive-1.2.1-bin/bin:/opt/pig/pig-0.16.0/bin:/opt/flume/apache-flume-1.9.0-bin/bin/
2019-02-09 15:37:59,285 INFO  [main] util.ServerCommandLine: env:LC_MEASUREMENT=en_IN.UTF-8
2019-02-09 15:37:59,285 INFO  [main] util.ServerCommandLine: env:LC_TELEPHONE=en_IN.UTF-8
2019-02-09 15:37:59,285 INFO  [main] util.ServerCommandLine: env:LC_TIME=en_IN.UTF-8
2019-02-09 15:37:59,285 INFO  [main] util.ServerCommandLine: env:HBASE_REGIONSERVER_OPTS= 
2019-02-09 15:37:59,285 INFO  [main] util.ServerCommandLine: env:DBUS_SESSION_BUS_ADDRESS=unix:path=/run/user/0/bus
2019-02-09 15:37:59,285 INFO  [main] util.ServerCommandLine: env:SUDO_USER=ubuntu
2019-02-09 15:37:59,285 INFO  [main] util.ServerCommandLine: env:MAIL=/var/mail/root
2019-02-09 15:37:59,285 INFO  [main] util.ServerCommandLine: env:COLORTERM=truecolor
2019-02-09 15:37:59,285 INFO  [main] util.ServerCommandLine: env:LD_LIBRARY_PATH=:/usr/java/packages/lib/amd64:/usr/lib/x86_64-linux-gnu/jni:/lib/x86_64-linux-gnu:/usr/lib/x86_64-linux-gnu:/usr/lib/jni:/lib:/usr/lib
2019-02-09 15:37:59,285 INFO  [main] util.ServerCommandLine: env:PIG_HOME=/opt/pig/pig-0.16.0
2019-02-09 15:37:59,286 INFO  [main] util.ServerCommandLine: env:USERNAME=root
2019-02-09 15:37:59,286 INFO  [main] util.ServerCommandLine: env:LC_PAPER=en_IN.UTF-8
2019-02-09 15:37:59,286 INFO  [main] util.ServerCommandLine: env:LOGNAME=root
2019-02-09 15:37:59,286 INFO  [main] util.ServerCommandLine: env:HBASE_REST_OPTS=
2019-02-09 15:37:59,286 INFO  [main] util.ServerCommandLine: env:PWD=/opt/hbase/hbase-1.2.10/bin
2019-02-09 15:37:59,286 INFO  [main] util.ServerCommandLine: env:HADOOP_INSTALL=/opt/hadoop/hadoop-2.7.3
2019-02-09 15:37:59,286 INFO  [main] util.ServerCommandLine: env:LANGUAGE=en_US
